index	start	end	type
0	0x0	0x9efff	System RAM
1	0x9f000	0xfffff	Reserved
2	0x100000	0x6ced7fff	System RAM
3	0x6ced8000	0x6efdbfff	Reserved
4	0x6efdc000	0x6f05dfff	ACPI Tables
5	0x6f05e000	0x6f0e0fff	ACPI Non-volatile Storage
6	0x6f0e1000	0x6f0e1fff	Reserved
7	0x6f0e2000	0x6f1b3fff	ACPI Non-volatile Storage
8	0x6f1b4000	0x6fc4dfff	Reserved
9	0x6fc4e000	0x6fc4efff	System RAM
10	0x6fc4f000	0x7cffffff	Reserved
11	0xe0000000	0xefffffff	Reserved
12	0xfe000000	0xfe010fff	Reserved
13	0xfec00000	0xfec00fff	Reserved
14	0xfed00000	0xfed03fff	Reserved
15	0xfee00000	0xfee00fff	Reserved
16	0xff000000	0xffffffff	Reserved
17	0x100000000	0x1080ffffff	System RAM
