index	start	end	type
0	0x0	0x8efff	System RAM
1	0x8f000	0x8ffff	ACPI Non-volatile Storage
2	0x90000	0x9dfff	System RAM
3	0x9e000	0x9ffff	Reserved
4	0x100000	0x1effffff	System RAM
5	0x1f000000	0x200fffff	Reserved
6	0x20100000	0x99ffffff	System RAM
7	0x9a000000	0x9a01ffff	Reserved
8	0x9a020000	0xa2d6bfff	System RAM
9	0xa2d6c000	0xa2d76fff	Reserved
10	0xa2d77000	0xa6d76fff	Reserved
11	0xa6d77000	0xaaf4bfff	Reserved
12	0xaaf4c000	0xaaff4fff	Reserved
13	0xaaff5000	0xb9167fff	Reserved
14	0xb9168000	0xb94e5fff	System RAM
15	0xb94e6000	0xb9767fff	Reserved
16	0xb9768000	0xb9797fff	Reserved
17	0xb9798000	0xb97a7fff	ACPI Tables
18	0xb97a8000	0xb98dbfff	ACPI Non-volatile Storage
19	0xb98dc000	0xb9b6afff	Reserved
20	0xb9b6b000	0xb9bb0fff	Reserved
21	0xb9bb1000	0xb9bb1fff	Reserved
22	0xb9bb2000	0xb9bf3fff	Reserved
23	0xb9bf4000	0xb9d62fff	Reserved
24	0xb9d63000	0xb9ff9fff	Reserved
25	0xb9ffa000	0xb9ffffff	Reserved
26	0x100000000	0x23fffffff	System RAM
27	0xe00f8000	0xe00f8fff	Reserved
28	0xfed01000	0xfed01fff	Reserved
29	0xffb00000	0xffffffff	Reserved
