leanos-serial-protocol	1
source-revision	26dda8e6c600df9d90770b14189a7cd6ab86fc4c
family	3	LEANOS_SERIAL_FAMILY_3	LEANOS/3
family	4	LEANOS_SERIAL_FAMILY_4	LEANOS/4
family	5	LEANOS_SERIAL_FAMILY_5	LEANOS/5
family	6	LEANOS_SERIAL_FAMILY_6	LEANOS/6
family	7	LEANOS_SERIAL_FAMILY_7	LEANOS/7
family	8	LEANOS_SERIAL_FAMILY_8	LEANOS/8
family	9	LEANOS_SERIAL_FAMILY_9	LEANOS/9
family	10	LEANOS_SERIAL_FAMILY_10	LEANOS/10
family	11	LEANOS_SERIAL_FAMILY_11	LEANOS/11
family	13	LEANOS_SERIAL_FAMILY_13	LEANOS/13
family	14	LEANOS_SERIAL_FAMILY_14	LEANOS/14
family	15	LEANOS_SERIAL_FAMILY_15	LEANOS/15
family	16	LEANOS_SERIAL_FAMILY_16	LEANOS/16
family	17	LEANOS_SERIAL_FAMILY_17	LEANOS/17
family	18	LEANOS_SERIAL_FAMILY_18	LEANOS/18
family	19	LEANOS_SERIAL_FAMILY_19	LEANOS/19
family	20	LEANOS_SERIAL_FAMILY_20	LEANOS/20
family	21	LEANOS_SERIAL_FAMILY_21	LEANOS/21
family	22	LEANOS_SERIAL_FAMILY_22	LEANOS/22
family	23	LEANOS_SERIAL_FAMILY_23	LEANOS/23
family	24	LEANOS_SERIAL_FAMILY_24	LEANOS/24
family	25	LEANOS_SERIAL_FAMILY_25	LEANOS/25
record	3	FINAL	LEANOS_SERIAL_3_FINAL	LEANOS/3 FINAL
record	3	ORACLE	LEANOS_SERIAL_3_ORACLE	LEANOS/3 ORACLE
record	4	PROBE	LEANOS_SERIAL_4_PROBE	LEANOS/4 PROBE
record	5	CONTEXT	LEANOS_SERIAL_5_CONTEXT	LEANOS/5 CONTEXT
record	5	ENTRY	LEANOS_SERIAL_5_ENTRY	LEANOS/5 ENTRY
record	5	FINAL	LEANOS_SERIAL_5_FINAL	LEANOS/5 FINAL
record	5	RESUME	LEANOS_SERIAL_5_RESUME	LEANOS/5 RESUME
record	5	SWITCH	LEANOS_SERIAL_5_SWITCH	LEANOS/5 SWITCH
record	5	SYSCALL	LEANOS_SERIAL_5_SYSCALL	LEANOS/5 SYSCALL
record	5	TIMER	LEANOS_SERIAL_5_TIMER	LEANOS/5 TIMER
record	6	BOOT	LEANOS_SERIAL_6_BOOT	LEANOS/6 BOOT
record	6	CLEANUP	LEANOS_SERIAL_6_CLEANUP	LEANOS/6 CLEANUP
record	6	CONTROL	LEANOS_SERIAL_6_CONTROL	LEANOS/6 CONTROL
record	6	COPY	LEANOS_SERIAL_6_COPY	LEANOS/6 COPY
record	6	POLICY	LEANOS_SERIAL_6_POLICY	LEANOS/6 POLICY
record	6	PROBE	LEANOS_SERIAL_6_PROBE	LEANOS/6 PROBE
record	7	ALLOC	LEANOS_SERIAL_7_ALLOC	LEANOS/7 ALLOC
record	7	BOOTALLOC	LEANOS_SERIAL_7_BOOTALLOC	LEANOS/7 BOOTALLOC
record	7	HANDOFF	LEANOS_SERIAL_7_HANDOFF	LEANOS/7 HANDOFF
record	7	MAP	LEANOS_SERIAL_7_MAP	LEANOS/7 MAP
record	7	PUBLISH	LEANOS_SERIAL_7_PUBLISH	LEANOS/7 PUBLISH
record	7	SCRUB	LEANOS_SERIAL_7_SCRUB	LEANOS/7 SCRUB
record	8	NEGATIVE	LEANOS_SERIAL_8_NEGATIVE	LEANOS/8 NEGATIVE
record	8	PAGING	LEANOS_SERIAL_8_PAGING	LEANOS/8 PAGING
record	8	TERMINAL	LEANOS_SERIAL_8_TERMINAL	LEANOS/8 TERMINAL
record	9	CAPREUSE	LEANOS_SERIAL_9_CAPREUSE	LEANOS/9 CAPREUSE
record	9	RETURN	LEANOS_SERIAL_9_RETURN	LEANOS/9 RETURN
record	10	BOOT	LEANOS_SERIAL_10_BOOT	LEANOS/10 BOOT
record	10	FINAL	LEANOS_SERIAL_10_FINAL	LEANOS/10 FINAL
record	10	IPC	LEANOS_SERIAL_10_IPC	LEANOS/10 IPC
record	11	ENTRY-ADVERSARIAL	LEANOS_SERIAL_11_ENTRY_ADVERSARIAL	LEANOS/11 ENTRY-ADVERSARIAL
record	11	ENTRY-HIGH-WATER	LEANOS_SERIAL_11_ENTRY_HIGH_WATER	LEANOS/11 ENTRY-HIGH-WATER
record	11	ENTRY-STACK-OVERFLOW	LEANOS_SERIAL_11_ENTRY_STACK_OVERFLOW	LEANOS/11 ENTRY-STACK-OVERFLOW
record	11	USER-FAULT	LEANOS_SERIAL_11_USER_FAULT	LEANOS/11 USER-FAULT
record	13	BOOT	LEANOS_SERIAL_13_BOOT	LEANOS/13 BOOT
record	13	EXTENDED-STATE	LEANOS_SERIAL_13_EXTENDED_STATE	LEANOS/13 EXTENDED-STATE
record	13	FINAL	LEANOS_SERIAL_13_FINAL	LEANOS/13 FINAL
record	14	BOOT	LEANOS_SERIAL_14_BOOT	LEANOS/14 BOOT
record	14	DISPATCH	LEANOS_SERIAL_14_DISPATCH	LEANOS/14 DISPATCH
record	14	ENTER	LEANOS_SERIAL_14_ENTER	LEANOS/14 ENTER
record	14	FAST-ENTRY	LEANOS_SERIAL_14_FAST_ENTRY	LEANOS/14 FAST-ENTRY
record	14	FAULT-ENTRY	LEANOS_SERIAL_14_FAULT_ENTRY	LEANOS/14 FAULT-ENTRY
