# path	function (reviewed contributor that a supported optimizer may inline or eliminate)
syscall	check_fast_entry_control
syscall	l_LeanOS_CapabilityReuse_scenarioTransition___redArg
syscall	q35_manifest_entry
timer-switch	check_fast_entry_control
timer-switch	q35_manifest_entry
user-page-fault	decoded_root_matches
user-page-fault	l_LeanOS_FaultDispatch_faultDispatchDemo
user-page-fault	l_LeanOS_InterruptEntry_canonicalPageFaultWordsValid
kernel-diagnostic	decoded_root_matches
kernel-diagnostic	l_LeanOS_FaultDispatch_faultDispatchDemo
kernel-diagnostic	l_LeanOS_InterruptEntry_canonicalPageFaultWordsValid
